barcode,product_family_id,product_title,season,nivel,brand_origin,color_name,color_group,color_intensity,adventurous,application,weather,style,print,basic,fit
1225501,FOULARD,Exet Foulard closet ,9,3,OWN_PRODUCTION,ochre,brown,claro,two,freetime,both,boho,sheets,missing,missing
1225518,FOULARD,Exet Foulard closet ,9,3,OWN_PRODUCTION,ecru,brown,suave,two,freetime,both,boho,sheets,missing,missing
1075922,CARDIGAN,Maf Sweater V ,9,2,MAINSTREAM,black,black,oscuro,one,"('freetime', 'work')",both,classic,smooth,true,straight
1076042,CARDIGAN,Maf Sweater V ,9,2,MAINSTREAM,blue_dark,blue,oscuro,one,"('freetime', 'work')",both,classic,smooth,true,straight
636889,CARDIGAN,Maf Sweater V ,7,2,MAINSTREAM,blue_dark,blue,oscuro,one,"('freetime', 'work')",both,classic,smooth,true,straight
855426,CARDIGAN,Maf Sweater V ,8,2,MAINSTREAM,black,black,oscuro,one,"('freetime', 'work')",both,classic,smooth,true,straight
636841,CARDIGAN,Maf Sweater V ,7,2,MAINSTREAM,grey,grey,claro,one,"('freetime', 'work')",both,classic,smooth,true,straight
1075939,CARDIGAN,Maf Sweater V ,9,2,MAINSTREAM,grey,grey,claro,one,"('freetime', 'work')",both,classic,smooth,true,straight
902090,CARDIGAN,Maf Sweater V ,7,2,MAINSTREAM,black,black,oscuro,one,"('freetime', 'work')",both,classic,smooth,true,straight
855471,CARDIGAN,Maf Sweater V ,8,2,MAINSTREAM,blue_dark,blue,oscuro,one,"('freetime', 'work')",both,classic,smooth,true,straight
1179262,SKIRT,Kelvin Skirt cerise,8,1,WHOLE_SALE,brown,brown,oscuro,two,"('night', 'freetime')",cold,"('street', 'boho', 'night')",smooth,false,straight
1179217,SKIRT,Kelvin Skirt cerise,8,1,WHOLE_SALE,black,black,oscuro,two,"('night', 'freetime')",cold,"('street', 'boho', 'night')",smooth,false,straight
1179248,SKIRT,Kelvin Skirt cerise,8,1,WHOLE_SALE,green_dark,green,oscuro,two,"('night', 'freetime')",cold,"('street', 'boho', 'night')",smooth,false,straight
1194906,TOP,Constella Top closet,9,2,OWN_PRODUCTION,blue_dark,blue,oscuro,two,freetime,warm,"('boho', 'classic')",printed,false,straight
898904,DRESS,Hainaut Dress flower ,7,1,NO_MAINSTREAM,black,black,oscuro,"('three', 'four')",freetime,warm,boho,floral,false,loose
957298,TOP,Dots Top charlior,7,2,WHOLE_SALE,black,black,oscuro,three,"('freetime', 'night')",warm,"('classic', 'boho')",polka_dot,false,straight
957311,TOP,Dots Top charlior,7,2,WHOLE_SALE,pink,pink,intenso,three,"('freetime', 'night')",warm,"('classic', 'boho')",polka_dot,false,straight
